,Truck Number,vol_actualization,predicted_truck_volume,arrival_actualization,pallets
0,1,0.04459966029799271,486,68.71555311182246,9
1,2,0.06216417895009072,677,88.5263446852759,12
2,3,0.07455457915435737,812,81.64483306679709,15
3,4,0.015835873025355954,172,158.2257177591683,3
4,5,0.06413782503426144,699,188.55341674869732,11
5,6,0.06945572424503679,757,182.42759319702066,13
6,7,0.016394233523323302,178,154.44732738767823,3
7,8,0.05448533308582194,593,227.10505740250642,11
8,9,0.10170504086684311,1108,191.3007549487076,17
9,10,0.08147643957429945,888,205.65201760486553,12
10,11,0.04282833205410858,466,200.95177559617952,8
11,12,0.0263287668322044,286,947.1271632095347,6
12,13,0.022288608785207432,242,869.682640782563,5
13,14,0.02363436895591462,257,961.8655042869682,6
14,15,0.004149650572056594,45,915.2312600163448,1
