Truck Number,Mean,STD
1.0,59.30769230769231,19.14384837343795
2.0,100.2090909090909,26.279756556531474
3.0,118.82242990654206,23.111221273589877
4.0,128.64761904761906,25.91405208063948
5.0,119.98113207547169,28.476884905907365
6.0,168.25,19.36902400507292
7.0,179.48453608247422,25.607662184255616
8.0,222.23076923076923,13.360011895546394
9.0,221.87301587301587,25.931905946762686
10.0,242.35294117647058,22.622526637946386
11.0,219.63106796116506,35.28872238094842
12.0,946.4757281553398,20.031271953678797
13.0,932.8653846153846,43.390540263018785
14.0,969.68,26.81055121711705
15.0,901.0,47.85869352013849
